grid_id,TIME,depth,latitude,longitude,avg_temperature,avg_salinity
-1.0_79.0,4/1/2021,100,-1,79,22.48878534,35.13254983
-1.0_79.0,4/1/2021,200,-1,79,13.43564974,35.11333597
-1.0_79.0,4/1/2021,500,-1,79,10.14792537,35.00053587
-1.0_79.0,4/1/2021,1000,-1,79,6.72362522,34.9180833
-1.0_79.0,4/1/2021,2000,-1,79,,
-1.0_79.0,4/10/2021,10,-1,79,29.44066517,34.80581909
-1.0_79.0,4/10/2021,100,-1,79,23.59349578,35.15754446
-1.0_79.0,4/10/2021,200,-1,79,13.44630493,35.12218409
-1.0_79.0,4/10/2021,500,-1,79,9.242085604,34.90913312
-1.0_79.0,4/10/2021,1000,-1,79,6.658680034,34.91311373
-1.0_79.0,4/10/2021,2000,-1,79,,
-1.0_79.0,5/10/2021,10,-1,79,30.59374933,34.89723778
-1.0_79.0,5/10/2021,100,-1,79,22.85904949,35.21272314
-1.0_79.0,5/10/2021,200,-1,79,14.06250007,35.13965854
-1.0_79.0,5/10/2021,500,-1,79,9.904849978,34.96974279
-1.0_79.0,5/10/2021,1000,-1,79,6.506550084,34.91102754
-1.0_79.0,5/10/2021,2000,-1,79,,
-1.0_81.0,1/1/2021,10,-1,81,28.86899948,35.10900116
-1.0_81.0,1/1/2021,100,-1,81,28.51399994,35.23699951
-1.0_81.0,1/1/2021,200,-1,81,13.90299988,35.125
-1.0_81.0,1/1/2021,500,-1,81,,
-1.0_81.0,1/1/2021,1000,-1,81,,
-1.0_81.0,1/1/2021,2000,-1,81,,
-1.0_81.0,2/18/2021,10,-1,81,29.50099945,34.71699905
-1.0_81.0,2/18/2021,100,-1,81,28.02199936,34.92499924
-1.0_81.0,2/18/2021,200,-1,81,14.91499996,35.14699936
-1.0_81.0,2/18/2021,500,-1,81,9.96222198,35.03685411
-1.0_81.0,2/18/2021,1000,-1,81,6.703424792,34.97299678
-1.0_81.0,2/18/2021,2000,-1,81,,
-1.0_81.0,3/1/2021,10,-1,81,29.78000069,34.73916258
-1.0_81.0,3/1/2021,100,-1,81,24.03198114,34.93196292
-1.0_81.0,3/1/2021,200,-1,81,13.49701958,35.06641178
-1.0_81.0,3/1/2021,500,-1,81,9.606249798,34.93145895
-1.0_81.0,3/1/2021,1000,-1,81,6.752373748,34.92196299
-1.0_81.0,3/1/2021,2000,-1,81,,
