TIME,grid_id,latitude,longitude,avg_temperature,avg_salinity,argo_float_ids
2021-01-10,11.0_63.0,11.0,63.0,26.523834228515625,36.08906555175781,[np.int64(2902388)]
2021-01-10,11.0_69.0,11.0,69.0,28.45126724243164,36.1776008605957,[np.int64(2902393)]
2021-01-10,11.0_89.0,11.0,89.0,28.486499786376953,33.97794723510742,[np.int64(2902680)]
2021-01-10,15.0_91.0,15.0,91.0,27.75429916381836,29.623098373413086,[np.int64(2902280)]
2021-01-10,17.0_59.0,17.0,59.0,24.80743408203125,36.2239990234375,[np.int64(2902390)]
2021-01-10,17.0_61.0,17.0,61.0,24.590089797973633,36.164207458496094,[np.int64(2902267)]
2021-01-10,19.0_93.0,19.0,93.0,28.378089904785156,30.769868850708008,[np.int64(2902282)]
2021-01-10,21.0_65.0,21.0,65.0,23.98980712890625,36.604068756103516,[np.int64(2902275)]
2021-01-10,7.0_85.0,7.0,85.0,28.75393295288086,34.46967315673828,[np.int64(2902771)]
2021-01-18,-1.0_61.0,-1.0,61.0,27.358348846435547,35.287132263183594,[np.int64(1901804)]
2021-01-18,-13.0_93.0,-13.0,93.0,27.423580169677734,34.55140686035156,[np.int64(1902052)]
2021-01-18,-3.0_79.0,-3.0,79.0,28.41669464111328,35.008914947509766,[np.int64(1901346)]
2021-01-18,-5.0_91.0,-5.0,91.0,26.680200576782227,34.459510803222656,[np.int64(2902241)]
2021-01-18,-5.0_93.0,-5.0,93.0,28.30987548828125,34.43400955200195,[np.int64(5904994)]
2021-01-18,-7.0_89.0,-7.0,89.0,26.055910110473633,34.5169792175293,[np.int64(2902242)]
2021-01-18,-9.0_67.0,-9.0,67.0,26.898290634155273,34.31107711791992,[np.int64(5902494)]
2021-01-18,1.0_65.0,1.0,65.0,27.7386531829834,35.287357330322266,[np.int64(1902193)]
2021-01-18,1.0_79.0,1.0,79.0,28.682355880737305,34.91682052612305,[np.int64(2902240)]
2021-01-18,1.0_95.0,1.0,95.0,29.360334396362305,34.12055969238281,[np.int64(2902854)]
2021-01-18,11.0_83.0,11.0,83.0,27.662857055664062,33.52347183227539,[np.int64(2902765)]
2021-01-18,11.0_91.0,11.0,91.0,28.4064998626709,33.815242767333984,[np.int64(2902235)]
2021-01-18,15.0_61.0,15.0,61.0,24.848600387573242,36.13925552368164,[np.int64(1901898)]
2021-01-18,15.0_63.0,15.0,63.0,25.599512100219727,36.26604461669922,[np.int64(2902263)]
2021-01-18,15.0_87.0,15.0,87.0,27.249500274658203,33.239227294921875,[np.int64(2902710)]
2021-01-18,3.0_91.0,3.0,91.0,29.566734313964844,34.61878967285156,[np.int64(2903130)]
2021-01-18,5.0_87.0,5.0,87.0,28.810665130615234,34.82944869995117,[np.int64(2902853)]
2021-01-18,7.0_91.0,7.0,91.0,28.859195709228516,33.875328063964844,[np.int64(2901896)]
2021-01-18,9.0_87.0,9.0,87.0,28.48187828063965,34.074520111083984,"[np.int64(2902852), np.int64(2901892)]"
2021-01-28,-1.0_63.0,-1.0,63.0,28.25837516784668,35.29762649536133,[np.int64(1901804)]
2021-01-28,-1.0_67.0,-1.0,67.0,28.358043670654297,35.24971389770508,[np.int64(1902193)]
2021-01-28,-13.0_93.0,-13.0,93.0,27.335580825805664,34.5766487121582,[np.int64(1902052)]
2021-01-28,-3.0_79.0,-3.0,79.0,28.60426139831543,35.0469856262207,[np.int64(1901346)]
2021-01-28,-5.0_91.0,-5.0,91.0,26.42757797241211,34.54689025878906,[np.int64(2902241)]
2021-01-28,-5.0_93.0,-5.0,93.0,27.984375,34.45680618286133,[np.int64(5904994)]
2021-01-28,-7.0_89.0,-7.0,89.0,25.94508934020996,34.54410934448242,[np.int64(2902242)]
2021-01-28,-9.0_65.0,-9.0,65.0,26.200483322143555,34.47526168823242,[np.int64(5902494)]
2021-01-28,1.0_79.0,1.0,79.0,28.79246711730957,34.915489196777344,[np.int64(2902240)]
2021-01-28,11.0_83.0,11.0,83.0,27.108600616455078,32.257389068603516,[np.int64(2902765)]
2021-01-28,11.0_91.0,11.0,91.0,28.184803009033203,33.49468994140625,[np.int64(2902235)]
2021-01-28,15.0_59.0,15.0,59.0,24.6875,36.18928527832031,[np.int64(1901898)]
2021-01-28,15.0_63.0,15.0,63.0,25.5583553314209,36.22600173950195,[np.int64(2902263)]
